ISBE Name,Latitude,Longitude
Chicago International Charter,41.9508918586,-87.7104556764
Chicago International Charter,41.6536675747999,-87.6050029272
Chicago International Charter,41.7212488715,-87.6557687539
Chicago International Charter,41.7202458541,-87.6575976791999
Chicago International Charter,41.9902175739999,-87.7265036635999
Chicago International Charter,41.6844332328999,-87.616851775
Chicago International Charter,41.7836163451,-87.6221051128
Chicago International Charter,41.9216867612,-87.7767852699
Chicago International Charter,41.7453659878,-87.6925777632
Claremont Academy Elem School,41.9067883751,-87.6830491568999
Clark Acad Prep Magnet High Schl,41.8023431427,-87.6721697288
Clark  G R Elem School,41.7849435752999,-87.6474162115
Clay Elem School,41.8966852495999,-87.6889362884
Clemente Community Academy HS,41.8786020833,-87.6642700568
Cleveland Elem School,41.8016591761999,-87.6855703355
Clinton Elem School,41.6545581863,-87.5446501887
Clissold Elem School,41.9520695634999,-87.7064426106
Colemon  J Elem Academy,41.8923771766,-87.6737219217999
Coles Elem Language Academy,41.9925420177,-87.6983231804999
Collins Academy High School,41.9413882507,-87.6907246464
Columbia Explorers Elem Academy,41.9304025456,-87.7612272034999
Columbus Elem School,41.6929985709999,-87.6808959585
Community Services West High Sch,41.8649516198999,-87.725058722
Cook Elem School,41.7414125294,-87.56600641
Coonley Elem School,41.7452375451999,-87.6597379541999
Cooper Elem Dual Language Academy,42.0170874948999,-87.6777257186
Corkery Elem School,41.8560037542999,-87.6672264774
Corliss High School,41.9026253079999,-87.6869428735
Courtenay Elem Language Arts Ctr,41.8243498917,-87.7116528769
Crane Technical Prep High School,41.9750679336,-87.6794474519
,41.7537492041999,-87.707381987
Crown Elem Comm Acd Fine Arts Ctr,41.6881633985999,-87.6856760346999
Cuffe Math-Sci Tech Elem Academy,41.8936129063,-87.7593616693
Cullen Elem School,41.7333371196,-87.5682647274
Curie Metropolitan High School,41.8305544189,-87.6192522266999
Curtis Elem School,41.7743930167,-87.7079518381
Daley Elem Academy,41.8091621881999,-87.6271378500999
Darwin Elem School,41.8526641707999,-87.7124334580999
"Davis, M Magnet Elem School",41.8852126906,-87.7632855866999
Davis  N Elem School,41.9737422185,-87.8410417412
Dawes Elem School,41.9232952786,-87.7054124004999
Depriest Elem School,41.6537055394,-87.6143199053999
Decatur Classical Elem School,41.8218241804,-87.7002013065
Deneen Elem School,41.7450503159999,-87.7173526310999
Dett Elem School,41.9013896984,-87.6337299209999
Dever Elem School,42.009288152,-87.7045818029999
Devry Advantage Academy High Schl,41.9655200272,-87.6524725414
Dewey Elem Academy of Fine Arts,41.7624907514,-87.6233079426999
De Diego Elem Community Academy,41.8835687675,-87.6694399965
Dirksen Elem School,41.8560561577,-87.6579809592
Disney Elem Magnet School,41.8481615496,-87.6990540931
Disney II Elem Schools,41.7815051900999,-87.6350153384999
,41.7526966442,-87.5508909663
Dixon Elem School,41.9425523928,-87.8130947818
Dodge Elem School,41.7956451036,-87.6426882418
Doolittle Elem School,41.743669914,-87.6099422444
Dore Elem School,41.8892867399,-87.7050619661
Douglass Academy High School,41.9599836093999,-87.6497859233
Drake Elem School,41.8311466143,-87.6129585266999
Drummond Elem School,41.8440435791,-87.6285167492
Dubois Elem School,41.7156648237999,-87.639342088
Dulles Elem School,41.8173367293,-87.5990993611
Dunbar Vocational Career Acad HS,41.8875163594999,-87.702165851
Dunne Technology Acad Elem Sch,41.8481615496,-87.6990540931
Durkin Park Elem School,41.7774830727,-87.6810603942
Dvorak Technology Acad Elem Sch,41.8829224859,-87.6991865078999
Dyett High School,41.9829335474,-87.7915467721
Earhart Elem Opt for Knowl School,41.9052932887,-87.68579293
Earle Elem School,41.7255983283999,-87.6301308543999
Eberhart Elem School,41.9159412364999,-87.6744954435
Ebinger Elem School,41.7811977309999,-87.6755465061
Edgebrook Elem School,42.0043805074,-87.8111681482999
Edison Park Elem School,41.9029149767,-87.6736593053999
Edison Elem Regional Gifted Cntr,41.9582204769999,-87.7021142077
Edwards Elem School,41.9994135064999,-87.7618598507
Ellington Elem School,41.6694433863,-87.6343421115
EPIC Academy High School,41.7448481837,-87.5502589914
Ericson Elem Scholastic Academy,41.8055409109,-87.7258928458
Erie Elem Charter School,41.9067715451,-87.6944011607999
